NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Package Price,Nett Price After Discount,DC Cable,DC cable qty (m),mountting structure,AC Cable,AC cable qty (m),Breaker,PV METER,PVC DB BOX
16,8,1X [3P] SAJ R6 8KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 16 PCS 625W,"16X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM28,870.00","RM22,140.00",Master Tec,20,16 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
17,8,1X [3P] SAJ R6 8KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 17 PCS 625W,"17X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM30,020.00","RM23,020.00",Master Tec,20,17 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
18,8,1X [3P] SAJ R6 8KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 18 PCS 625W,"18X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM31,180.00","RM23,900.00",Master Tec,20,18 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
19,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 19 PCS 625W,"19X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM32,480.00","RM24,620.00",Master Tec,20,19 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
20,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 20 PCS 625W,"20X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM33,630.00","RM25,220.00",Master Tec,20,20 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
21,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 21 PCS 625W,"21X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM34,790.00","RM25,810.00",Master Tec,20,21 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
22,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 22 PCS 625W,"22X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM35,940.00","RM26,390.00",Master Tec,20,22 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
23,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 23 PCS 625W,"23X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM37,220.00","RM27,040.00",Master Tec,20,23 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
24,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 24 PCS 625W,"24X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM38,380.00","RM27,880.00",Master Tec,20,24 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
25,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 25 PCS 625W,"25X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM39,530.00","RM28,710.00",Master Tec,20,25 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
26,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 26 PCS 625W,"26X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM40,690.00","RM29,540.00",Master Tec,20,26 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
27,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 27 PCS 625W,"27X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM41,840.00","RM30,380.00",Master Tec,20,27 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
28,12.5,1X [3P] SAJ R6 12.5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 28 PCS 625W,"28X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12.5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM43,740.00","RM31,120.00",Master Tec,20,28 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
29,12.5,1X [3P] SAJ R6 12.5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 29 PCS 625W,"29X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12.5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM45,680.00","RM32,180.00",Master Tec,20,29 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
30,12.5,1X [3P] SAJ R6 12.5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 30 PCS 625W,"30X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12.5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM46,840.00","RM32,990.00",Master Tec,20,30 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
31,12.5,1X [3P] SAJ R6 12.5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 31 PCS 625W,"31X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12.5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM47,990.00","RM33,790.00",Master Tec,20,31 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
32,12.5,1X [3P] SAJ R6 12.5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 32 PCS 625W,"32X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12.5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM49,140.00","RM34,600.00",Master Tec,20,32 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
33,12.5,1X [3P] SAJ R6 12.5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 33 PCS 625W,"33X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12.5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM50,300.00","RM35,410.00",Master Tec,20,33 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
34,12.5,1X [3P] SAJ R6 12.5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 34 PCS 625W,"34X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 12.5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM51,450.00","RM36,220.00",Master Tec,20,34 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
35,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 35 PCS 625W,"35X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM52,740.00","RM37,120.00",Master Tec,20,35 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
36,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 36 PCS 625W,"36X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM53,890.00","RM37,930.00",Master Tec,20,36 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
37,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 37 PCS 625W,"37X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM55,050.00","RM38,730.00",Master Tec,20,37 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
38,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 38 PCS 625W,"38X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM56,200.00","RM39,540.00",Master Tec,20,38 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
39,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 39 PCS 625W,"39X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM57,350.00","RM40,350.00",Master Tec,20,39 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
40,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 40 PCS 625W,"40X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM58,510.00","RM41,160.00",Master Tec,20,40 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
41,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 41 PCS 625W,"41X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM59,660.00","RM41,960.00",Master Tec,20,41 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
42,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 42 PCS 625W,"42X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM60,820.00","RM42,770.00",Master Tec,20,42 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
43,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 43 PCS 625W,"43X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM61,970.00","RM43,580.00",Master Tec,20,43 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
44,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 44 PCS 625W,"44X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM63,120.00","RM44,390.00",Master Tec,20,44 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
45,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 45 PCS 625W,"45X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM64,280.00","RM45,190.00",Master Tec,20,45 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
46,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 46 PCS 625W,"46X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM66,400.00","RM46,700.00",Master Tec,20,46 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
47,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 47 PCS 625W,"47X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM67,560.00","RM47,510.00",Master Tec,20,47 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
48,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,[3P] STRING SAJ ASTRONERGY 48 PCS 625W,"48X 625W Astronergy ASTRO N7 Panel N-Type TOPCon 
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM68,710.00","RM48,310.00",Master Tec,20,48 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
